枠番号,キャラ名,カード名,シリーズ,属性,開始日,終了日,復刻回数,URL
1,ルーカス・エラント,集う光の下へ,恒常,草,2024/4/18,2024/4/19,1,https://nek0-tkdb.github.io/tools/img/lucas01.jpg
1,歩二 魁斗,庶民派代表貴族コーデ,恒常,水,2024/4/18,2024/4/19,1,https://nek0-tkdb.github.io/tools/img/kaito01.jpg
2,黒鷲 玲音,悪魔からの新着通知,恒常,火,2024/4/19,2024/4/26,1,https://nek0-tkdb.github.io/tools/img/leo01.jpg
2,艸楽 陽,怪異サファリにようこそ,恒常,火,2024/4/23,2024/4/26,1,https://nek0-tkdb.github.io/tools/img/haru01.jpg
2,音無 叶空,言の葉は泡となりて,恒常,草,2024/4/19,2024/4/26,1,https://nek0-tkdb.github.io/tools/img/towa01.jpg
3,白波 蓮,最悪に次ぐ最悪,恒常,水,2024/4/26,2024/5/3,1,https://nek0-tkdb.github.io/tools/img/ren01.jpg
3,磴 塔真,創られし笑顔,恒常,水,2024/4/26,2024/5/3,1,https://nek0-tkdb.github.io/tools/img/tohma01.jpg
3,星喰 大我,博徒は欲望のままに,恒常,水,2024/4/30,2024/5/3,1,https://nek0-tkdb.github.io/tools/img/taiga01.jpg
4,ロミオ・ルッチ,積み上げてきた富と罪,恒常,草,2024/5/3,2024/5/10,1,https://nek0-tkdb.github.io/tools/img/romeo01.jpg
4,針条 律,全ての黒を眩き白に,恒常,火,2024/5/7,2024/5/10,1,https://nek0-tkdb.github.io/tools/img/ritsu01.jpg
4,灰園 翔平,余裕系男子,恒常,草,2024/5/3,2024/5/10,1,https://nek0-tkdb.github.io/tools/img/shohei01.jpg
5,御堂 亜嵐,真実なら奪い獲るまで,恒常,草,2024/5/10,2024/5/17,1,https://nek0-tkdb.github.io/tools/img/alan01.jpg
5,冠氷 尋,凍てついた暴君,恒常,水,2024/5/14,2024/5/17,1,https://nek0-tkdb.github.io/tools/img/jin01.jpg
5,黒鷲 玲音,夜の帳を足元に,休日,水,2024/5/10,2024/5/17,1,https://nek0-tkdb.github.io/tools/img/leo_hol.jpg
6,艸楽 陽,怪異サファリにようこそ,恒常,火,2024/5/21,2024/5/24,2,https://nek0-tkdb.github.io/tools/img/haru01.jpg
6,歩二 魁斗,庶民派代表貴族コーデ,恒常,水,2024/5/17,2024/5/24,2,https://nek0-tkdb.github.io/tools/img/kaito01.jpg
6,音無 叶空,夜空に咲かせ、大輪の花,休日,草,2024/5/17,2024/5/24,1,https://nek0-tkdb.github.io/tools/img/towa_hol.jpg
7,黒鷲 玲音,悪魔からの新着通知,恒常,火,2024/5/28,2024/5/31,2,https://nek0-tkdb.github.io/tools/img/leo01.jpg
7,音無 叶空,言の葉は泡となりて,恒常,草,2024/5/24,2024/5/31,2,https://nek0-tkdb.github.io/tools/img/towa01.jpg
